-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
kou̯˨	⠅⠧⠂	ᄀᆃ̣	gou6	gou6	kou22_3	kou22_3	kō	gòw	gou6	gou6	ˍgou	ˍgou	gouh
kou̯˩	⠅⠧⠄	ᄀᆃ̲	gou4	gou4	kou11_1	kou11_1	kô	gow	gou4	gou4	ˌgou	ˌgou	gòuh
kou̯˩˧	⠅⠧⠠	ᄀᆃ̤	gou5	gou5	kou13_2	kou13_2	kǒ	gów	gou5	gou5	ˏgou	ˏgou	góuh
koy̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
koy̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
koŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kuː˥	⠅⠥⠀	구	gu1	gu1	ku55^1	ku55^1	koo	gü	gu1	goo1°	ˈgu	ˈgu	gū
kuː˥˧	↦ ⠅⠥⠀ [kuː˥]	↦ 구 [kuː˥]	↦ gu1 [kuː˥]	↦ gu1 [kuː˥]	ku53^1	ku53^1	↦ koo [kuː˥]	↦ gü [kuː˥]	↦ gu1 [kuː˥]	goo1	↦ ˈgu [kuː˥]	↦ ˈgu [kuː˥]	gù
kuː˧	⠅⠥⠈	구〮	gu3	gu3	ku33^3	ku33^3	koò	gû	gu3	goo3	ˉgu	ˉgu	gu
kuː˧˥	⠅⠥⠁	구〯	gu2	gu2	ku35^2	ku35^2	koó	gũ	gu2	goo2	ˊgu	ˊgu	gú
kuː˨	⠅⠥⠂	구̣	gu6	gu6	ku22_3	ku22_3	koō	gù	gu6	goo6	ˍgu	ˍgu	guh
kuː˩	⠅⠥⠄	구̲	gu4	gu4	ku11_1	ku11_1	koô	gu	gu4	goo4	ˌgu	ˌgu	gùh
kuː˩˧	⠅⠥⠠	구̤	gu5	gu5	ku13_2	ku13_2	koǒ	gú	gu5	goo5	ˏgu	ˏgu	gúh
kuːi̯˥	⠅⠳⠀	귀	gui1	gui1	kui55^1	kui55^1	kooi	güi	gui1	gooi1°	ˈgui	ˈgui	gūi
kuːi̯˥˧	↦ ⠅⠳⠀ [kuːi̯˥]	↦ 귀 [kuːi̯˥]	↦ gui1 [kuːi̯˥]	↦ gui1 [kuːi̯˥]	kui53^1	kui53^1	↦ kooi [kuːi̯˥]	↦ güi [kuːi̯˥]	↦ gui1 [kuːi̯˥]	gooi1	↦ ˈgui [kuːi̯˥]	↦ ˈgui [kuːi̯˥]	gùi
kuːi̯˧	⠅⠳⠈	귀〮	gui3	gui3	kui33^3	kui33^3	kooì	gûi	gui3	gooi3	ˉgui	ˉgui	gui
kuːi̯˧˥	⠅⠳⠁	귀〯	gui2	gui2	kui35^2	kui35^2	kooí	gũi	gui2	gooi2	ˊgui	ˊgui	gúi
kuːi̯˨	⠅⠳⠂	귀̣	gui6	gui6	kui22_3	kui22_3	kooī	gùi	gui6	gooi6	ˍgui	ˍgui	guih
kuːi̯˩	⠅⠳⠄	귀̲	gui4	gui4	kui11_1	kui11_1	kooî	gui	gui4	gooi4	ˌgui	ˌgui	gùih
kuːi̯˩˧	⠅⠳⠠	귀̤	gui5	gui5	kui13_2	kui13_2	kooǐ	gúi	gui5	gooi5	ˏgui	ˏgui	gúih
kuːk̚˥	△	△	↦ guk7 [kʊk̚˥]	↦ guk1 [kʊk̚˥]	↦ kuk55^4 [kʊk̚˥]	↦ kuk55^4 [kʊk̚˥]	kook	güg	↦ gug1 [kʊk̚˥]	gook1°	↦ ˈguk [kʊk̚˥]	↦ ˈguk [kʊk̚˥]	↦ gūk [kʊk̚˥]
kuːk̚˥˧	△	△	↦ guk7 [kʊk̚˥]	↦ guk1 [kʊk̚˥]	⊖	⊖	↦ kook [kuːk̚˥]	↦ güg [kuːk̚˥]	↦ gug1 [kʊk̚˥]	gook1	↦ ˈguk [kʊk̚˥]	↦ ˈguk [kʊk̚˥]	↦ gùk [kʊk̚˥˧]
kuːk̚˧	△	△	↦ guk8 [kʊk̚˧]	↦ guk3 [kʊk̚˧]	↦ kuk33-4 [kʊk̚˧]	↦ kuk33-4 [kʊk̚˧]	koòk	gûg	↦ gug3 [kʊk̚˧]	gook3	↦ ˉguk [kʊk̚˧]	↦ ˉguk [kʊk̚˧]	↦ guk [kʊk̚˧]
kuːk̚˧˥	△	△	↦ guk2 [kʊk̚˧˥]	↦ guk2 [kʊk̚˧˥]	⊖	⊖	koók	gũg	↦ gug2 [kʊk̚˧˥]	gook2	↦ ˊguk [kʊk̚˧˥]	↦ ˊguk [kʊk̚˧˥]	↦ gúk [kʊk̚˧˥]
kuːk̚˨	△	△	↦ guk9 [kʊk̚˨]	↦ guk6 [kʊk̚˨]	↦ kuk22_4 [kʊk̚˨]	↦ kuk22_4 [kʊk̚˨]	koōk	gùg	↦ gug6 [kʊk̚˨]	gook6	↦ ˍguk [kʊk̚˨]	↦ ˍguk [kʊk̚˨]	↦ guhk [kʊk̚˨]
kuːk̚˩	△	△	↦ guk4 [kʊk̚˩]	↦ guk4 [kʊk̚˩]	⊖	⊖	koôk	gug	↦ gug4 [kʊk̚˩]	gook4	↦ ˌguk [kʊk̚˩]	↦ ˌguk [kʊk̚˩]	↦ gùhk [kʊk̚˩]
kuːk̚˩˧	△	△	↦ guk5 [kʊk̚˩˧]	↦ guk5 [kʊk̚˩˧]	⊖	⊖	koǒk	gúg	↦ gug5 [kʊk̚˩˧]	gook5	↦ ˏguk [kʊk̚˩˧]	↦ ˏguk [kʊk̚˩˧]	↦ gúhk [kʊk̚˩˧]
kuːm˥	△	△	gum1	gum1	kum55^1	kum55^1	koom	güm	gum1	goom1°	ˈgum	ˈgum	gūm
kuːm˥˧	△	△	↦ gum1 [kuːm˥]	↦ gum1 [kuːm˥]	kum53^1	kum53^1	↦ koom [kuːm˥]	↦ güm [kuːm˥]	↦ gum1 [kuːm˥]	goom1	↦ ˈgum [kuːm˥]	↦ ˈgum [kuːm˥]	gùm
kuːm˧	△	△	gum3	gum3	kum33^3	kum33^3	koòm	gûm	gum3	goom3	ˉgum	ˉgum	gum
kuːm˧˥	△	△	gum2	gum2	kum35^2	kum35^2	koóm	gũm	gum2	goom2	ˊgum	ˊgum	gúm
kuːm˨	△	△	gum6	gum6	kum22_3	kum22_3	koōm	gùm	gum6	goom6	ˍgum	ˍgum	guhm
kuːm˩	△	△	gum4	gum4	kum11_1	kum11_1	koôm	gum	gum4	goom4	ˌgum	ˌgum	gùhm
kuːm˩˧	△	△	gum5	gum5	kum13_2	kum13_2	koǒm	gúm	gum5	goom5	ˏgum	ˏgum	gúhm
kuːn˥	⠅⠮⠀	군	gun1	gun1	kun55^1	kun55^1	koon	gün	gun1	goon1°	ˈgun	ˈgun	gūn
kuːn˥˧	↦ ⠅⠮⠀ [kuːn˥]	↦ 군 [kuːn˥]	↦ gun1 [kuːn˥]	↦ gun1 [kuːn˥]	kun53^1	kun53^1	↦ koon [kuːn˥]	↦ gün [kuːn˥]	↦ gun1 [kuːn˥]	goon1	↦ ˈgun [kuːn˥]	↦ ˈgun [kuːn˥]	gùn
kuːn˧	⠅⠮⠈	군〮	gun3	gun3	kun33^3	kun33^3	koòn	gûn	gun3	goon3	ˉgun	ˉgun	gun
kuːn˧˥	⠅⠮⠁	군〯	gun2	gun2	kun35^2	kun35^2	koón	gũn	gun2	goon2	ˊgun	ˊgun	gún
kuːn˨	⠅⠮⠂	군̣	gun6	gun6	kun22_3	kun22_3	koōn	gùn	gun6	goon6	ˍgun	ˍgun	guhn
kuːn˩	⠅⠮⠄	군̲	gun4	gun4	kun11_1	kun11_1	koôn	gun	gun4	goon4	ˌgun	ˌgun	gùhn
kuːn˩˧	⠅⠮⠠	군̤	gun5	gun5	kun13_2	kun13_2	koǒn	gún	gun5	goon5	ˏgun	ˏgun	gúhn
kuːp̚˥	△	△	gup7	gup1	kup55^4	kup55^4	koop	güb	gub1	goop1°	ˈgup	ˈgup	gūp
kuːp̚˥˧	△	△	↦ gup7 [kuːp̚˥]	↦ gup1 [kuːp̚˥]	⊖	⊖	↦ koop [kuːp̚˥]	↦ güb [kuːp̚˥]	↦ gub1 [kuːp̚˥]	goop1	↦ ˈgup [kuːp̚˥]	↦ ˈgup [kuːp̚˥]	gùp
kuːp̚˧	△	△	gup8	gup3	kup33-4	kup33-4	koòp	gûb	gub3	goop3	ˉgup	ˉgup	gup
kuːp̚˧˥	△	△	gup2	gup2	⊖	⊖	koóp	gũb	gub2	goop2	ˊgup	ˊgup	gúp
kuːp̚˨	△	△	gup9	gup6	kup22_4	kup22_4	koōp	gùb	gub6	goop6	ˍgup	ˍgup	guhp
kuːp̚˩	△	△	gup4	gup4	⊖	⊖	koôp	gub	gub4	goop4	ˌgup	ˌgup	gùhp
kuːp̚˩˧	△	△	gup5	gup5	⊖	⊖	koǒp	gúb	gub5	goop5	ˏgup	ˏgup	gúhp
kuːt̚˥	⠅⠵⠀	굳	gut7	gut1	kut55^4	kut55^4	koot	güd	gud1	goot1°	ˈgut	ˈgut	gūt
kuːt̚˥˧	↦ ⠅⠵⠀ [kuːt̚˥]	↦ 굳 [kuːt̚˥]	↦ gut7 [kuːt̚˥]	↦ gut1 [kuːt̚˥]	⊖	⊖	↦ koot [kuːt̚˥]	↦ güd [kuːt̚˥]	↦ gud1 [kuːt̚˥]	goot1	↦ ˈgut [kuːt̚˥]	↦ ˈgut [kuːt̚˥]	gùt
kuːt̚˧	⠅⠵⠈	굳〮	gut8	gut3	kut33-4	kut33-4	koòt	gûd	gud3	goot3	ˉgut	ˉgut	gut
kuːt̚˧˥	⠅⠵⠁	굳〯	gut2	gut2	⊖	⊖	koót	gũd	gud2	goot2	ˊgut	ˊgut	gút
kuːt̚˨	⠅⠵⠂	굳̣	gut9	gut6	kut22_4	kut22_4	koōt	gùd	gud6	goot6	ˍgut	ˍgut	guht
kuːt̚˩	⠅⠵⠄	굳̲	gut4	gut4	⊖	⊖	koôt	gud	gud4	goot4	ˌgut	ˌgut	gùht
kuːt̚˩˧	⠅⠵⠠	굳̤	gut5	gut5	⊖	⊖	koǒt	gúd	gud5	goot5	ˏgut	ˏgut	gúht
kuːy̯˥	△	△	△	△	kuy55^1	kuy55^1	△	△	△	△	ˈguy	△	△
kuːy̯˥˧	△	△	△	△	kuy53^1	kuy53^1	△	△	△	△	↦ ˈguy [kuːy̯˥]	△	△
kuːy̯˧	△	△	△	△	kuy33^3	kuy33^3	△	△	△	△	ˉguy	△	△
kuːy̯˧˥	△	△	△	△	kuy35^2	kuy35^2	△	△	△	△	ˊguy	△	△
kuːy̯˨	△	△	△	△	kuy22_3	kuy22_3	△	△	△	△	ˍguy	△	△
kuːy̯˩	△	△	△	△	kuy11_1	kuy11_1	△	△	△	△	ˌguy	△	△
kuːy̯˩˧	△	△	△	△	kuy13_2	kuy13_2	△	△	△	△	ˏguy	△	△
kuːŋ˥	△	△	↦ gung1 [kʊŋ˥]	↦ gung1 [kʊŋ˥]	↦ kuŋ55^1 [kʊŋ˥]	↦ kung55^1 [kʊŋ˥]	koong	güng	↦ gung1 [kʊŋ˥]	goong1°	↦ ˈguŋ [kʊŋ˥]	↦ ˈgung [kʊŋ˥]	↦ gūng [kʊŋ˥]
kuːŋ˥˧	△	△	↦ gung1 [kʊŋ˥]	↦ gung1 [kʊŋ˥]	↦ kuŋ53^1 [kʊŋ˥˧]	↦ kung53^1 [kʊŋ˥˧]	↦ koong [kuːŋ˥]	↦ güng [kuːŋ˥]	↦ gung1 [kʊŋ˥]	goong1	↦ ˈguŋ [kʊŋ˥]	↦ ˈgung [kʊŋ˥]	↦ gùng [kʊŋ˥˧]
kuːŋ˧	△	△	↦ gung3 [kʊŋ˧]	↦ gung3 [kʊŋ˧]	↦ kuŋ33^3 [kʊŋ˧]	↦ kung33^3 [kʊŋ˧]	koòng	gûng	↦ gung3 [kʊŋ˧]	goong3	↦ ˉguŋ [kʊŋ˧]	↦ ˉgung [kʊŋ˧]	↦ gung [kʊŋ˧]
kuːŋ˧˥	△	△	↦ gung2 [kʊŋ˧˥]	↦ gung2 [kʊŋ˧˥]	↦ kuŋ35^2 [kʊŋ˧˥]	↦ kung35^2 [kʊŋ˧˥]	koóng	gũng	↦ gung2 [kʊŋ˧˥]	goong2	↦ ˊguŋ [kʊŋ˧˥]	↦ ˊgung [kʊŋ˧˥]	↦ gúng [kʊŋ˧˥]
kuːŋ˨	△	△	↦ gung6 [kʊŋ˨]	↦ gung6 [kʊŋ˨]	↦ kuŋ22_3 [kʊŋ˨]	↦ kung22_3 [kʊŋ˨]	koōng	gùng	↦ gung6 [kʊŋ˨]	goong6	↦ ˍguŋ [kʊŋ˨]	↦ ˍgung [kʊŋ˨]	↦ guhng [kʊŋ˨]
kuːŋ˩	△	△	↦ gung4 [kʊŋ˩]	↦ gung4 [kʊŋ˩]	↦ kuŋ11_1 [kʊŋ˩]	↦ kung11_1 [kʊŋ˩]	koông	gung	↦ gung4 [kʊŋ˩]	goong4	↦ ˌguŋ [kʊŋ˩]	↦ ˌgung [kʊŋ˩]	↦ gùhng [kʊŋ˩]
kuːŋ˩˧	△	△	↦ gung5 [kʊŋ˩˧]	↦ gung5 [kʊŋ˩˧]	↦ kuŋ13_2 [kʊŋ˩˧]	↦ kung13_2 [kʊŋ˩˧]	koǒng	gúng	↦ gung5 [kʊŋ˩˧]	goong5	↦ ˏguŋ [kʊŋ˩˧]	↦ ˏgung [kʊŋ˩˧]	↦ gúhng [kʊŋ˩˧]
kyː˥	⠅⠹⠀	그	gy1	gyu1	ky55^1	kyu55^1	kue	geü	gü1	gue1°	ˈgy	ˈgue	gyū
kyː˥˧	↦ ⠅⠹⠀ [kyː˥]	↦ 그 [kyː˥]	↦ gy1 [kyː˥]	↦ gyu1 [kyː˥]	ky53^1	kyu53^1	↦ kue [kyː˥]	↦ geü [kyː˥]	↦ gü1 [kyː˥]	gue1	↦ ˈgy [kyː˥]	↦ ˈgue [kyː˥]	gyù
kyː˧	⠅⠹⠈	그〮	gy3	gyu3	ky33^3	kyu33^3	kuè	geû	gü3	gue3	ˉgy	ˉgue	gyu
kyː˧˥	⠅⠹⠁	그〯	gy2	gyu2	ky35^2	kyu35^2	kué	geũ	gü2	gue2	ˊgy	ˊgue	gyú
kyː˨	⠅⠹⠂	그̣	gy6	gyu6	ky22_3	kyu22_3	kuē	geù	gü6	gue6	ˍgy	ˍgue	gyuh
kyː˩	⠅⠹⠄	그̲	gy4	gyu4	ky11_1	kyu11_1	kuê	geu	gü4	gue4	ˌgy	ˌgue	gyùh
kyː˩˧	⠅⠹⠠	그̤	gy5	gyu5	ky13_2	kyu13_2	kuě	geú	gü5	gue5	ˏgy	ˏgue	gyúh
kyːi̯˥	△	△	gyi1	gyui1	kyi55^1	kyui55^1	kuei	geüi	güi1	guei1°	ˈgyi	ˈguei	gyūi
kyːi̯˥˧	△	△	↦ gyi1 [kyːi̯˥]	↦ gyui1 [kyːi̯˥]	kyi53^1	kyui53^1	↦ kuei [kyːi̯˥]	↦ geüi [kyːi̯˥]	↦ güi1 [kyːi̯˥]	guei1	↦ ˈgyi [kyːi̯˥]	↦ ˈguei [kyːi̯˥]	gyùi
kyːi̯˧	△	△	gyi3	gyui3	kyi33^3	kyui33^3	kueì	geûi	güi3	guei3	ˉgyi	ˉguei	gyui
kyːi̯˧˥	△	△	gyi2	gyui2	kyi35^2	kyui35^2	kueí	geũi	güi2	guei2	ˊgyi	ˊguei	gyúi
kyːi̯˨	△	△	gyi6	gyui6	kyi22_3	kyui22_3	kueī	geùi	güi6	guei6	ˍgyi	ˍguei	gyuih
kyːi̯˩	△	△	gyi4	gyui4	kyi11_1	kyui11_1	kueî	geui	güi4	guei4	ˌgyi	ˌguei	gyùih
kyːi̯˩˧	△	△	gyi5	gyui5	kyi13_2	kyui13_2	kueǐ	geúi	güi5	guei5	ˏgyi	ˏguei	gyúih
kyːk̚˥	△	△	gyk7	gyuk1	kyk55^4	kyuk55^4	kuek	geüg	güg1	guek1°	ˈgyk	ˈguek	gyūk
kyːk̚˥˧	△	△	↦ gyk7 [kyːk̚˥]	↦ gyuk1 [kyːk̚˥]	⊖	⊖	↦ kuek [kyːk̚˥]	↦ geüg [kyːk̚˥]	↦ güg1 [kyːk̚˥]	guek1	↦ ˈgyk [kyːk̚˥]	↦ ˈguek [kyːk̚˥]	gyùk
kyːk̚˧	△	△	gyk8	gyuk3	kyk33-4	kyuk33-4	kuèk	geûg	güg3	guek3	ˉgyk	ˉguek	gyuk
kyːk̚˧˥	△	△	gyk2	gyuk2	⊖	⊖	kuék	geũg	güg2	guek2	ˊgyk	ˊguek	gyúk
kyːk̚˨	△	△	gyk9	gyuk6	kyk22_4	kyuk22_4	kuēk	geùg	güg6	guek6	ˍgyk	ˍguek	gyuhk
kyːk̚˩	△	△	gyk4	gyuk4	⊖	⊖	kuêk	geug	güg4	guek4	ˌgyk	ˌguek	gyùhk
kyːk̚˩˧	△	△	gyk5	gyuk5	⊖	⊖	kuěk	geúg	güg5	guek5	ˏgyk	ˏguek	gyúhk
kyːm˥	△	△	gym1	gyum1	kym55^1	kyum55^1	kuem	geüm	güm1	guem1°	ˈgym	ˈguem	gyūm
kyːm˥˧	△	△	↦ gym1 [kyːm˥]	↦ gyum1 [kyːm˥]	kym53^1	kyum53^1	↦ kuem [kyːm˥]	↦ geüm [kyːm˥]	↦ güm1 [kyːm˥]	guem1	↦ ˈgym [kyːm˥]	↦ ˈguem [kyːm˥]	gyùm
kyːm˧	△	△	gym3	gyum3	kym33^3	kyum33^3	kuèm	geûm	güm3	guem3	ˉgym	ˉguem	gyum
kyːm˧˥	△	△	gym2	gyum2	kym35^2	kyum35^2	kuém	geũm	güm2	guem2	ˊgym	ˊguem	gyúm
kyːm˨	△	△	gym6	gyum6	kym22_3	kyum22_3	kuēm	geùm	güm6	guem6	ˍgym	ˍguem	gyuhm
kyːm˩	△	△	gym4	gyum4	kym11_1	kyum11_1	kuêm	geum	güm4	guem4	ˌgym	ˌguem	gyùhm
kyːm˩˧	△	△	gym5	gyum5	kym13_2	kyum13_2	kuěm	geúm	güm5	guem5	ˏgym	ˏguem	gyúhm
kyːn˥	⠅⠆⠀	근	gyn1	gyun1	kyn55^1	kyun55^1	kuen	geün	gün1	guen1°	ˈgyn	ˈguen	gyūn
kyːn˥˧	↦ ⠅⠆⠀ [kyːn˥]	↦ 근 [kyːn˥]	↦ gyn1 [kyːn˥]	↦ gyun1 [kyːn˥]	kyn53^1	kyun53^1	↦ kuen [kyːn˥]	↦ geün [kyːn˥]	↦ gün1 [kyːn˥]	guen1	↦ ˈgyn [kyːn˥]	↦ ˈguen [kyːn˥]	gyùn
kyːn˧	⠅⠆⠈	근〮	gyn3	gyun3	kyn33^3	kyun33^3	kuèn	geûn	gün3	guen3	ˉgyn	ˉguen	gyun
kyːn˧˥	⠅⠆⠁	근〯	gyn2	gyun2	kyn35^2	kyun35^2	kuén	geũn	gün2	guen2	ˊgyn	ˊguen	gyún
kyːn˨	⠅⠆⠂	근̣	gyn6	gyun6	kyn22_3	kyun22_3	kuēn	geùn	gün6	guen6	ˍgyn	ˍguen	gyuhn
kyːn˩	⠅⠆⠄	근̲	gyn4	gyun4	kyn11_1	kyun11_1	kuên	geun	gün4	guen4	ˌgyn	ˌguen	gyùhn
kyːn˩˧	⠅⠆⠠	근̤	gyn5	gyun5	kyn13_2	kyun13_2	kuěn	geún	gün5	guen5	ˏgyn	ˏguen	gyúhn
kyːp̚˥	△	△	gyp7	gyup1	kyp55^4	kyup55^4	kuep	geüb	güb1	guep1°	ˈgyp	ˈguep	gyūp
kyːp̚˥˧	△	△	↦ gyp7 [kyːp̚˥]	↦ gyup1 [kyːp̚˥]	⊖	⊖	↦ kuep [kyːp̚˥]	↦ geüb [kyːp̚˥]	↦ güb1 [kyːp̚˥]	guep1	↦ ˈgyp [kyːp̚˥]	↦ ˈguep [kyːp̚˥]	gyùp
kyːp̚˧	△	△	gyp8	gyup3	kyp33-4	kyup33-4	kuèp	geûb	güb3	guep3	ˉgyp	ˉguep	gyup
kyːp̚˧˥	△	△	gyp2	gyup2	⊖	⊖	kuép	geũb	güb2	guep2	ˊgyp	ˊguep	gyúp
kyːp̚˨	△	△	gyp9	gyup6	kyp22_4	kyup22_4	kuēp	geùb	güb6	guep6	ˍgyp	ˍguep	gyuhp
kyːp̚˩	△	△	gyp4	gyup4	⊖	⊖	kuêp	geub	güb4	guep4	ˌgyp	ˌguep	gyùhp
kyːp̚˩˧	△	△	gyp5	gyup5	⊖	⊖	kuěp	geúb	güb5	guep5	ˏgyp	ˏguep	gyúhp
kyːt̚˥	⠅⠷⠀	귿	gyt7	gyut1	kyt55^4	kyut55^4	kuet	geüd	güd1	guet1°	ˈgyt	ˈguet	gyūt
kyːt̚˥˧	↦ ⠅⠷⠀ [kyːt̚˥]	↦ 귿 [kyːt̚˥]	↦ gyt7 [kyːt̚˥]	↦ gyut1 [kyːt̚˥]	⊖	⊖	↦ kuet [kyːt̚˥]	↦ geüd [kyːt̚˥]	↦ güd1 [kyːt̚˥]	guet1	↦ ˈgyt [kyːt̚˥]	↦ ˈguet [kyːt̚˥]	gyùt
kyːt̚˧	⠅⠷⠈	귿〮	gyt8	gyut3	kyt33-4	kyut33-4	kuèt	geûd	güd3	guet3	ˉgyt	ˉguet	gyut
kyːt̚˧˥	⠅⠷⠁	귿〯	gyt2	gyut2	⊖	⊖	kuét	geũd	güd2	guet2	ˊgyt	ˊguet	gyút
kyːt̚˨	⠅⠷⠂	귿̣	gyt9	gyut6	kyt22_4	kyut22_4	kuēt	geùd	güd6	guet6	ˍgyt	ˍguet	gyuht
kyːt̚˩	⠅⠷⠄	귿̲	gyt4	gyut4	⊖	⊖	kuêt	geud	güd4	guet4	ˌgyt	ˌguet	gyùht
kyːt̚˩˧	⠅⠷⠠	귿̤	gyt5	gyut5	⊖	⊖	kuět	geúd	güd5	guet5	ˏgyt	ˏguet	gyúht
kyːu̯˥	△	△	gyu1	gyuu1	kyu55^1	kyuu55^1	kueu	geüu	güu1	gueu1°	ˈgyu	ˈgueu	gyūu
kyːu̯˥˧	△	△	↦ gyu1 [kyːu̯˥]	↦ gyuu1 [kyːu̯˥]	kyu53^1	kyuu53^1	↦ kueu [kyːu̯˥]	↦ geüu [kyːu̯˥]	↦ güu1 [kyːu̯˥]	gueu1	↦ ˈgyu [kyːu̯˥]	↦ ˈgueu [kyːu̯˥]	gyùu
kyːu̯˧	△	△	gyu3	gyuu3	kyu33^3	kyuu33^3	kueù	geûu	güu3	gueu3	ˉgyu	ˉgueu	gyuu
kyːu̯˧˥	△	△	gyu2	gyuu2	kyu35^2	kyuu35^2	kueú	geũu	güu2	gueu2	ˊgyu	ˊgueu	gyúu
kyːu̯˨	△	△	gyu6	gyuu6	kyu22_3	kyuu22_3	kueū	geùu	güu6	gueu6	ˍgyu	ˍgueu	gyuuh
kyːu̯˩	△	△	gyu4	gyuu4	kyu11_1	kyuu11_1	kueû	geuu	güu4	gueu4	ˌgyu	ˌgueu	gyùuh
kyːu̯˩˧	△	△	gyu5	gyuu5	kyu13_2	kyuu13_2	kueǔ	geúu	güu5	gueu5	ˏgyu	ˏgueu	gyúuh
kyːŋ˥	△	△	gyng1	gyung1	kyŋ55^1	kyung55^1	kueng	geüng	güng1	gueng1°	ˈgyŋ	ˈgueng	gyūng
kyːŋ˥˧	△	△	↦ gyng1 [kyːŋ˥]	↦ gyung1 [kyːŋ˥]	kyŋ53^1	kyung53^1	↦ kueng [kyːŋ˥]	↦ geüng [kyːŋ˥]	↦ güng1 [kyːŋ˥]	gueng1	↦ ˈgyŋ [kyːŋ˥]	↦ ˈgueng [kyːŋ˥]	gyùng
kyːŋ˧	△	△	gyng3	gyung3	kyŋ33^3	kyung33^3	kuèng	geûng	güng3	gueng3	ˉgyŋ	ˉgueng	gyung
kyːŋ˧˥	△	△	gyng2	gyung2	kyŋ35^2	kyung35^2	kuéng	geũng	güng2	gueng2	ˊgyŋ	ˊgueng	gyúng
kyːŋ˨	△	△	gyng6	gyung6	kyŋ22_3	kyung22_3	kuēng	geùng	güng6	gueng6	ˍgyŋ	ˍgueng	gyuhng
kyːŋ˩	△	△	gyng4	gyung4	kyŋ11_1	kyung11_1	kuêng	geung	güng4	gueng4	ˌgyŋ	ˌgueng	gyùhng
kyːŋ˩˧	△	△	gyng5	gyung5	kyŋ13_2	kyung13_2	kuěng	geúng	güng5	gueng5	ˏgyŋ	ˏgueng	gyúhng
kŋ̍˥	△	ᄀᅠᇰ	gng1	gng1	kŋ55^1	kng55^1	kng	gng̈	gng1	gng1°	ˈgŋ	ˈgng	gn̄g
kŋ̍˥˧	△	↦ ᄀᅠᇰ [kŋ̍˥]	↦ gng1 [kŋ̍˥]	↦ gng1 [kŋ̍˥]	kŋ53^1	kng53^1	↦ kng [kŋ̍˥]	↦ gng̈ [kŋ̍˥]	↦ gng1 [kŋ̍˥]	gng1	↦ ˈgŋ [kŋ̍˥]	↦ ˈgng [kŋ̍˥]	gǹg
kŋ̍˧	△	ᄀᅠᇰ〮	gng3	gng3	kŋ33^3	kng33^3	kng̀	gnĝ	gng3	gng3	ˉgŋ	ˉgng	gng
kŋ̍˧˥	△	ᄀᅠᇰ〯	gng2	gng2	kŋ35^2	kng35^2	knǵ	gng̃	gng2	gng2	ˊgŋ	ˊgng	gńg
kŋ̍˨	△	ᄀᅠᇰ̣	gng6	gng6	kŋ22_3	kng22_3	knḡ	gng̀	gng6	gng6	ˍgŋ	ˍgng	gngh
kŋ̍˩	△	ᄀᅠᇰ̲	gng4	gng4	kŋ11_1	kng11_1	knĝ	gng	gng4	gng4	ˌgŋ	ˌgng	gǹgh
kŋ̍˩˧	△	ᄀᅠᇰ̤	gng5	gng5	kŋ13_2	kng13_2	knǧ	gnǵ	gng5	gng5	ˏgŋ	ˏgng	gńgh
kœː˥	⠅⠱⠀	갸	goe1	goe1	koe55^1	koe55^1	koeh	geö	gê1	geuh1°	ˈgœ	ˈgeu	gēu
kœː˥˧	↦ ⠅⠱⠀ [kœː˥]	↦ 갸 [kœː˥]	↦ goe1 [kœː˥]	↦ goe1 [kœː˥]	koe53^1	koe53^1	↦ koeh [kœː˥]	↦ geö [kœː˥]	↦ gê1 [kœː˥]	geuh1	↦ ˈgœ [kœː˥]	↦ ˈgeu [kœː˥]	gèu
kœː˧	⠅⠱⠈	갸〮	goe3	goe3	koe33^3	koe33^3	koeh̀	geô	gê3	geuh3	ˉgœ	ˉgeu	geu
kœː˧˥	⠅⠱⠁	갸〯	goe2	goe2	koe35^2	koe35^2	koeh́	geõ	gê2	geuh2	ˊgœ	ˊgeu	géu
kœː˨	⠅⠱⠂	갸̣	goe6	goe6	koe22_3	koe22_3	koeh̄	geò	gê6	geuh6	ˍgœ	ˍgeu	geuh
kœː˩	⠅⠱⠄	갸̲	goe4	goe4	koe11_1	koe11_1	koeĥ	geo	gê4	geuh4	ˌgœ	ˌgeu	gèuh
